variable_name,description,data_type,min,max,units,enumerations,comment,Required,Primary Key,Foreign Key,FK Table,FK Domain,tests
condition_occurrence_id,"The unique key given to a condition record for a person. Refer to the ETL for how duplicate conditions during the same visit were handled.",integer,,,,,"Primary Key for the CONDITION_OCCURRENCE table","Yes","Yes","No",,,not_null
person_id,"The PERSON_ID of the PERSON for whom the condition is recorded.",integer,,,,,"Foreign Key: PERSON.person_id","Yes","No","Yes","PERSON",,not_null
condition_concept_id,"The CONDITION_CONCEPT_ID field is recommended for primary use in analyses, and must be used for network studies. This is the standard concept mapped from the source value which represents a condition",integer,,,,Accepted Concepts,"Foreign Key: CONCEPT.condition_concept_id","Yes","No","Yes","CONCEPT","Condition",not_null
condition_start_date,"Use this date to determine the start date of the condition",date,,,,,"Most often data sources do not have the idea of a start date for a condition. If no start date is provided, use the same date for CONDITION_START_DATE and CONDITION_END_DATE.","Yes","No","No",,,not_null
condition_start_datetime,,"datetime",,,,,"Set the time to midnight (00:00:0000) if no time is specified.","No","No","No",,,
condition_end_date,"Use this date to determine the end date of the condition",date,,,,,"Most often data sources do not have the idea of a condition end date. If no end date is provided, use the same date for CONDITION_START_DATE and CONDITION_END_DATE.","No","No","No",,,
condition_end_datetime,,"datetime",,,,,"Set the time to midnight (00:00:0000) if no time is specified.","No","No","No",,,
condition_type_concept_id,"This field can be used to determine the provenance of the Condition record, as in whether the condition was from an EHR system, insurance claim, registry, or other sources.",integer,,,,Accepted Concepts,"Foreign Key: CONCEPT.condition_type_concept_id","Yes","No","Yes","CONCEPT","Type Concept",not_null
condition_status_concept_id,"This concept represents the point during the visit the diagnosis was given (admitting diagnosis, final diagnosis), whether the diagnosis was determined due to laboratory findings, if the diagnosis was exclusionary, or if it was a preliminary diagnosis, among others.",integer,,,,Accepted Concepts,"Foreign Key: CONCEPT.condition_status_concept_id","No","No","Yes","CONCEPT","Condition Status",
stop_reason,"The Stop Reason indicates why a Condition is no longer valid with respect to the purpose within the source data. Note that a Stop Reason does not necessarily imply that the condition is no longer occurring.",varchar(20),,,,,"This information is often not populated in source data and can be left blank if unavailable.","No","No","No",,,
provider_id,"The provider associated with condition record, e.g. the provider who made the diagnosis or the provider who recorded the symptom.",integer,,,,,"Foreign Key: PROVIDER.provider_id","No","No","Yes","PROVIDER",,
visit_occurrence_id,"The visit during which the condition occurred.",integer,,,,,"Foreign Key: VISIT_OCCURRENCE.visit_occurrence_id","No","No","Yes","VISIT_OCCURRENCE",,
visit_detail_id,"The VISIT_DETAIL record during which the condition occurred. For example, if the person was in the ICU at the time of the diagnosis the VISIT_OCCURRENCE record would reflect the overall hospital stay and the VISIT_DETAIL record would reflect the ICU stay during the hospital visit.",integer,,,,,"Foreign Key: VISIT_DETAIL.visit_detail_id","No","No","Yes","VISIT_DETAIL",,
condition_source_value,"This field houses the verbatim value from the source data representing the condition that occurred. For example, this could be an ICD10 or Read code.",varchar(50),,,,,"Verbatim value from the source data","No","No","No",,,
condition_source_concept_id,"This is the concept representing the condition source value and may not necessarily be standard. This field is discouraged from use in analysis because it is not required to contain Standard Concepts that are used across the OHDSI community, and should only be used when Standard Concepts do not adequately represent the source detail for the Condition necessary for a given analytic use case.",integer,,,,,"Foreign Key: CONCEPT.condition_source_concept_id","No","No","Yes","CONCEPT",,
condition_status_source_value,"This field houses the verbatim value from the source data representing the condition status.",varchar(50),,,,,"Verbatim value indicating the condition status from the source data.","No","No","No",,,
