variable_name,description,data_type,min,max,units,enumerations,comment,Required,Primary Key,Foreign Key,FK Table,FK Domain,tests
note_nlp_id,"A unique identifier for the NLP record.",integer,,,,,"Primary Key for the NOTE_NLP table","Yes","Yes","No",,,not_null
note_id,"This is the NOTE_ID for the NOTE record the NLP record is associated to.",integer,,,,,"Foreign Key: NOTE.note_id","Yes","No","No",,,not_null
section_concept_id,"The SECTION_CONCEPT_ID should be used to represent the note section contained in the NOTE_NLP record. These concepts can be found as parts of document panels.",integer,,,,Accepted Concepts,"Foreign Key: CONCEPT.section_concept_id","No","No","Yes","CONCEPT",,
snippet,"A small window of text surrounding the term.",varchar(250),,,,,"Snippet of text around the extracted term.","No","No","No",,,
offset,"Character offset of the extracted term in the input note.",varchar(50),,,,,"Offset of the extracted term.","No","No","No",,,
lexical_variant,"Raw text extracted from the NLP tool.",varchar(250),,,,,"Lexical variant extracted from the NLP tool.","Yes","No","No",,,not_null
note_nlp_concept_id,,integer,,,,,"Foreign Key: CONCEPT.note_nlp_concept_id","No","No","Yes","CONCEPT",,
note_nlp_source_concept_id,,integer,,,,,"Foreign Key: CONCEPT.note_nlp_source_concept_id","No","No","Yes","CONCEPT",,
nlp_system,"Name and version of the NLP system that extracted the term. Useful for data provenance.",varchar(250),,,,,"NLP system name and version.","No","No","No",,,
nlp_date,"The date of the note processing.",date,,,,,"Date when the note was processed.","Yes","No","No",,,not_null
nlp_datetime,"The date and time of the note processing.",datetime,,,,,"Date and time when the note was processed.","No","No","No",,,
term_exists,"Term_exists is defined as a flag that indicates if the patient actually has or had the condition.",varchar(1),,,,,"Flag indicating whether the term exists.","No","No","No",,,
term_temporal,"Term_temporal is to indicate if a condition is present or just in the past.",varchar(50),,,,,"Temporal indicator for the term.","No","No","No",,,
term_modifiers,"Term_modifiers concatenate all modifiers for different types of entities (conditions, drugs, labs, etc.) into one string.",varchar(2000),,,,,"Concatenated string of modifiers.","No","No","No",,,
