variable_name,description,data_type,min,max,units,enumerations,comment,Required,Primary Key,Foreign Key,FK Table,FK Domain,tests
person_id,"It is assumed that every person with a different unique identifier is in fact a different person and should be treated independently.",integer,,,,,"Primary Key for the PERSON table","Yes","Yes","No",,,not_null
gender_concept_id,"This field is meant to capture the biological sex at birth of the Person. This field should not be used to study gender identity issues.",integer,,,,8532;8507,"Foreign Key: CONCEPT.gender_concept_id","Yes","No","Yes","CONCEPT","Gender",not_null
year_of_birth,"Compute age using year_of_birth.",integer,,,,,"Year extracted from the person's date of birth","Yes","No","No",,,not_null
month_of_birth,,"integer",,,,,"Month extracted from the person's date of birth","No","No","No",,,
day_of_birth,,"integer",,,,,"Day extracted from the person's date of birth","No","No","No",,,
birth_datetime,"This field is not required but highly encouraged.",datetime,,,,,"Precise datetime of birth when available","No","No","No",,,
race_concept_id,"This field captures race or ethnic background of the person.",integer,,,,1547214;1547215;1546002;1546003;1546004;1546005;1546007;38003600;38003599;1546008;1546009;1546010;1546011;1546012;1546013,"Foreign Key: CONCEPT.race_concept_id","Yes","No","Yes","CONCEPT","Race",not_null
ethnicity_concept_id,"This field captures Ethnicity as defined by the Office of Management and Budget (OMB) of the US Government.",integer,,,,1546006;1546026;1546034;1546045;1546051;1546055;1546068;1546071;1546073;1546084;1546085;1546092;1546095;1546099;1546101,"Foreign Key: CONCEPT.ethnicity_concept_id","Yes","No","Yes","CONCEPT","Ethnicity",not_null
location_id,"The location refers to the physical address of the person.",integer,,,,,"Foreign Key: LOCATION.location_id","No","No","Yes","LOCATION",,
provider_id,"The Provider refers to the last known primary care provider (General Practitioner).",integer,,,,,"Foreign Key: PROVIDER.provider_id","No","No","Yes","PROVIDER",,
care_site_id,"The Care Site refers to where the Provider typically provides the primary care.",integer,,,,,"Foreign Key: CARE_SITE.care_site_id","No","No","Yes","CARE_SITE",,
person_source_value,"Use this field to link back to persons in the source data.",varchar(50),,,,,"Value from source data for reference","No","No","No",,,
gender_source_value,"This field is used to store the biological sex of the person from the source data.",varchar(50),,,,,"Value from source data for reference","No","No","No",,,
gender_source_concept_id,"Due to the small number of options, this tends to be zero.",integer,,,,,"Foreign Key: CONCEPT.gender_source_concept_id","No","No","Yes","CONCEPT",,
race_source_value,"This field is used to store the race of the person from the source data.",varchar(50),,,,,"Value from source data for reference","No","No","No",,,
race_source_concept_id,"Due to the small number of options, this tends to be zero.",integer,,,,,"Foreign Key: CONCEPT.race_source_concept_id","No","No","Yes","CONCEPT",,
ethnicity_source_value,"This field is used to store the ethnicity of the person from the source data.",varchar(50),,,,,"Value from source data for reference","No","No","No",,,
ethnicity_source_concept_id,"Due to the small number of options, this tends to be zero.",integer,,,,,"Foreign Key: CONCEPT.ethnicity_source_concept_id","No","No","Yes","CONCEPT",,
