variable_name,description,data_type,min,max,units,enumerations,comment,Required,Primary Key,Foreign Key,FK Table,FK Domain,tests
provider_id,"It is assumed that every provider with a different unique identifier is in fact a different person and should be treated independently.",integer,,,,,"Primary Key for the PROVIDER table. May be source ID (if integer) or autogenerated.","Yes","Yes","No",,,not_null
provider_name,"This field contains information that describes a healthcare provider.",varchar(255),,,,,"Descriptive name used to uniquely and/or anonymously identify the provider.","No","No","No",,,
npi,"This is the National Provider Number issued to health care providers in the US by the Centers for Medicare and Medicaid Services (CMS).",varchar(20),,,,,"National Provider Identifier (NPI).","No","No","No",,,
dea,"This is the identifier issued by the DEA, a US federal agency, that allows a provider to write prescriptions for controlled substances.",varchar(20),,,,,"DEA registration number.","No","No","No",,,
specialty_concept_id,"Represents the provider’s most common or most specific specialty concept. Includes physician and allied health specialties.",integer,,,,Accepted Concepts,"Foreign Key: CONCEPT.specialty_concept_id (Standard concept, Provider domain).","No","No","Yes","CONCEPT",,
care_site_id,"CARE_SITE_ID for the location where the provider primarily practices.",integer,,,,,"Foreign Key: CARE_SITE.care_site_id (primary practice location).","No","No","Yes","CARE_SITE",,
year_of_birth,"Year of birth of the provider.",integer,,,,,"Four-digit year representing provider’s year of birth.","No","No","No",,,
gender_concept_id,"Represents the recorded gender of the provider in the source data.",integer,,,,Accepted Concepts,"Foreign Key: CONCEPT.gender_concept_id (Gender domain).","No","No","Yes","CONCEPT","Gender",
provider_source_value,"Identifier of the provider as it appears in the source data.",varchar(50),,,,,"Source system provider identifier for ETL traceability.","No","No","No",,,
specialty_source_value,"Specific specialty of the provider as it appears in the source data.",varchar(50),,,,,"Source value for provider specialty (coded or text).","No","No","No",,,
specialty_source_concept_id,"Stores the OMOP concept_id if the source specialty is coded in a supported vocabulary.",integer,,,,,"Foreign Key: CONCEPT.specialty_source_concept_id.","No","No","Yes","CONCEPT",,
gender_source_value,"Provider’s gender as it appears in the source data.",varchar(50),,,,,"Source value for provider gender (coded or text).","No","No","No",,,
gender_source_concept_id,"Stores the OMOP concept_id if the source gender is coded in a supported vocabulary.",integer,,,,,"Foreign Key: CONCEPT.gender_source_concept_id.","No","No","Yes","CONCEPT",,
