variable_name,description,data_type,min,max,units,enumerations,comment,Required,Primary Key,Foreign Key,FK Table,FK Domain,tests
visit_occurrence_id,"Unique identifier for interactions between a person and the healthcare system, linking events to a visit.",integer,,,,,"Primary Key for the VISIT_OCCURRENCE table.","Yes","Yes","No",,,"not_null"
person_id,"Unique identifier for the person associated with the visit.",integer,,,,,"Foreign Key: PERSON.person_id.","Yes","No","Yes","PERSON",,"not_null"
visit_concept_id,"Concept ID representing the type of visit (e.g., inpatient, outpatient, etc.).",integer,,,,38004232;38004307;38004210;8882;38004231;38004354;38004364;33007;38004305;38004353;8850;8668;581478;38004208;38004209,"Foreign Key: CONCEPT.concept_id (Visit domain).","Yes","No","Yes","CONCEPT","Visit","not_null"
visit_start_date,"Start date of the visit (e.g., admission date for inpatient visits).",date,,,,,"Start date of the visit.","Yes","No","No",,,"not_null"
visit_start_datetime,"Start datetime of the visit. If no time is given, set to midnight (00:00:0000).",datetime,,,,,"Start datetime of the visit.","No","No","No",,,
visit_end_date,"End date of the visit (e.g., discharge date for inpatient visits). Default value for ongoing inpatient visits is the date of data pull.",date,,,,,"End date of the visit.","Yes","No","No",,,"not_null"
visit_end_datetime,"End datetime of the visit. If no time is given, set to midnight (00:00:0000).",datetime,,,,,"End datetime of the visit.","No","No","No",,,
visit_type_concept_id,"Concept ID representing the provenance of the visit record (e.g., EHR or claims data).",integer,,,,32809;32810;32811;32812;32813;32814;32815;32816;32817;32818;32819;32820;32821;32822;32823,"Foreign Key: CONCEPT.concept_id (Type Concept).","Yes","No","Yes","CONCEPT","Type Concept","not_null"
provider_id,"Identifier for the provider associated with the visit. Multiple providers can be reflected in VISIT_DETAIL.",integer,,,,,"Foreign Key: PROVIDER.provider_id.","No","No","Yes","PROVIDER",,
care_site_id,"Identifier for the Care Site where the visit took place.",integer,,,,,"Foreign Key: CARE_SITE.care_site_id.","No","No","Yes","CARE_SITE",,
visit_source_value,"Verbatim value from source data representing the type of visit (e.g., inpatient, outpatient, emergency).",varchar(50),,,,,"Source-provided visit type.","No","No","No",,,
visit_source_concept_id,"Concept ID representing the coded source value of the visit.",integer,,,,,"Foreign Key: CONCEPT.concept_id.","No","No","Yes","CONCEPT",,
admitted_from_concept_id,"Concept ID representing the location where the patient was admitted from (e.g., home or long-term care facility).",integer,,,,38004232;38004307;38004210;8882;38004231;38004354;38004364;33007;38004305;38004353;8850;8668;581478;38004208;38004209,"Foreign Key: CONCEPT.concept_id (Visit domain).","No","No","Yes","CONCEPT","Visit",
admitted_from_source_value,"Source-provided value indicating where a person was admitted from.",varchar(50),,,,,"Source-provided admission location.","No","No","No",,,
discharged_to_concept_id,"Concept ID representing where the patient was discharged to (e.g., home or long-term care facility).",integer,,,,38004232;38004307;38004210;8882;38004231;38004354;38004364;33007;38004305;38004353;8850;8668;581478;38004208;38004209,"Foreign Key: CONCEPT.concept_id (Visit domain).","No","No","Yes","CONCEPT","Visit",
discharged_to_source_value,"Source-provided value indicating where a person was discharged to.",varchar(50),,,,,"Source-provided discharge location.","No","No","No",,,
preceding_visit_occurrence_id,"Identifier for the visit immediately preceding the current visit. Note: not symmetrical.",integer,,,,,"Foreign Key: VISIT_OCCURRENCE.visit_occurrence_id.","No","No","Yes","VISIT_OCCURRENCE",,
